fname_i,label_i,fname_j,label_j,pix_corr,path_i,path_j
11.jpg,batik-bali,37.jpg,batik-parang,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/11.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-parang/37.jpg
13.jpg,batik-bali,33.jpg,batik-betawi,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/13.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-betawi/33.jpg
21.jpg,batik-bali,18.jpg,batik-sogan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/21.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sogan/18.jpg
26.jpg,batik-bali,32.jpg,batik-parang,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/26.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-parang/32.jpg
22.jpg,batik-bali,37.jpg,batik-pekalongan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/22.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-pekalongan/37.jpg
27.jpg,batik-bali,1.jpg,batik-kawung,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/27.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-kawung/1.jpg
28.jpg,batik-bali,13.jpg,batik-kawung,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/28.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-kawung/13.jpg
15.jpg,batik-ceplok,4.jpg,batik-kawung,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/15.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-kawung/4.jpg
42.jpg,batik-bali,30.jpg,batik-keraton,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/42.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-keraton/30.jpg
48.jpg,batik-betawi,1.jpg,batik-ciamis,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-betawi/48.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ciamis/1.jpg
48.jpg,batik-betawi,4.jpg,batik-garutan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-betawi/48.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-garutan/4.jpg
19.jpg,batik-ceplok,24.jpg,batik-kawung,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/19.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-kawung/24.jpg
18.jpg,batik-ceplok,40.jpg,batik-parang,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/18.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-parang/40.jpg
25.jpg,batik-ceplok,39.jpg,batik-kawung,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/25.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-kawung/39.jpg
20.jpg,batik-ceplok,8.jpg,batik-kawung,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/20.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-kawung/8.jpg
13.jpg,batik-sidoluhur,9.jpg,batik-sidomukti,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sidoluhur/13.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sidomukti/9.jpg
32.jpg,batik-pekalongan,37.jpg,batik-sekar,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-pekalongan/32.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sekar/37.jpg
35.jpg,batik-ceplok,6.jpg,batik-keraton,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/35.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-keraton/6.jpg
41.jpg,batik-ceplok,31.jpg,batik-sekar,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/41.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sekar/31.jpg
47.jpg,batik-ceplok,39.jpg,batik-sekar,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/47.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sekar/39.jpg
44.jpg,batik-ceplok,45.jpg,batik-kawung,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/44.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-kawung/45.jpg
1.jpg,batik-ciamis,4.jpg,batik-garutan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ciamis/1.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-garutan/4.jpg
7.jpg,batik-ceplok,18.jpg,batik-parang,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/7.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-parang/18.jpg
17.jpg,batik-ciamis,18.jpg,batik-priangan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ciamis/17.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-priangan/18.jpg
34.jpg,batik-ciamis,10.jpg,batik-priangan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ciamis/34.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-priangan/10.jpg
11.jpg,batik-ciamis,5.jpg,batik-pekalongan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ciamis/11.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-pekalongan/5.jpg
15.jpg,batik-ciamis,39.jpg,batik-garutan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ciamis/15.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-garutan/39.jpg
13.jpg,batik-garutan,21.jpg,batik-priangan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-garutan/13.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-priangan/21.jpg
18.jpg,batik-kawung,24.jpg,batik-parang,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-kawung/18.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-parang/24.jpg
