i,j,pix_corr
2,618,1.0
4,76,1.0
7,202,0.9451
13,890,1.0
14,668,1.0
18,613,1.0
19,397,1.0
20,401,1.0
36,465,1.0
54,78,0.9276
55,94,0.969
92,247,1.0
92,330,1.0
113,115,0.905
114,115,0.9109
115,121,0.9087
204,426,1.0
206,622,1.0
207,406,0.9885
207,411,1.0
209,440,1.0
214,425,1.0
215,216,0.924
225,488,1.0
232,761,1.0
234,238,0.9237
234,768,0.9237
234,773,0.9064
235,432,1.0
238,768,1.0
244,597,1.0
247,330,1.0
249,682,1.0
253,329,1.0
255,269,0.9999
255,697,1.0
269,697,0.9999
274,689,1.0
280,292,0.9999
283,287,0.9764
301,701,1.0
308,704,1.0
374,485,0.9999
374,716,1.0
405,604,1.0
406,411,0.9885
415,423,0.9999
469,864,1.0
482,788,0.9994
482,851,0.9994
485,716,0.9999
490,638,1.0
490,639,0.9905
514,535,0.9998
543,555,0.9909
543,585,0.9985
544,563,0.9997
544,583,0.9999
550,556,1.0
555,585,0.9926
557,558,0.998
563,583,0.9998
565,566,0.9999
569,571,1.0
580,584,1.0
588,657,1.0
605,610,0.9998
638,639,0.9905
642,654,0.9954
663,766,1.0
732,822,0.9999
738,781,0.9996
744,771,0.9129
749,752,0.9696
753,757,0.9403
756,757,0.9153
757,773,0.9094
772,780,0.9002
785,796,0.9993
788,851,1.0
789,880,1.0
807,849,0.9999
