i,j,pix_corr
0,1,0.9783
2,3,0.9758
4,5,0.9794
6,7,0.9786
8,9,0.979
10,11,0.9791
12,13,0.9796
14,15,0.9787
16,17,0.9799
16,18,0.9896
16,19,0.9896
17,18,0.9894
17,19,0.9898
18,19,0.9806
20,21,0.9784
22,23,0.9812
24,25,0.9793
24,26,0.9574
24,27,0.9565
25,26,0.9564
25,27,0.9558
26,27,0.9804
28,29,0.9787
30,31,0.9811
32,33,0.9802
32,34,0.9533
32,35,0.9518
33,34,0.9525
33,35,0.9512
34,35,0.9791
36,37,0.9785
38,39,0.9783
40,41,0.9801
42,43,0.9794
44,45,0.9801
46,47,0.9782
48,49,0.9736
48,50,0.9855
48,51,0.9861
49,50,0.9862
49,51,0.9855
50,51,0.9727
52,53,0.9712
54,55,0.974
56,57,0.9726
58,59,0.9728
60,61,0.9718
62,63,0.972
64,65,0.9787
66,67,0.9786
68,69,0.9778
70,71,0.9787
72,73,0.9779
74,75,0.9788
76,77,0.9783
78,79,0.9776
80,81,0.9776
82,83,0.9768
84,85,0.9763
86,87,0.9767
88,89,0.9778
90,91,0.9774
92,93,0.9776
94,95,0.9774
96,97,0.9769
98,99,0.9773
100,101,0.9762
102,103,0.9778
104,105,0.9771
104,106,0.9642
104,107,0.9642
105,106,0.9646
105,107,0.9652
106,107,0.9774
108,109,0.9774
110,111,0.9766
112,113,0.9832
112,115,0.9002
114,115,0.9835
116,117,0.9828
118,119,0.9833
120,121,0.9838
122,123,0.9839
124,125,0.9839
126,127,0.984
128,129,0.9796
128,130,0.9896
128,131,0.9894
129,130,0.9894
129,131,0.9895
130,131,0.9789
132,133,0.9784
134,135,0.9773
136,137,0.98
136,138,0.9676
136,139,0.9669
137,138,0.9668
137,139,0.967
138,139,0.9794
140,141,0.9796
140,142,0.9008
140,143,0.9025
141,143,0.901
142,143,0.9781
144,145,0.9798
144,146,0.9455
144,147,0.9443
145,146,0.9464
145,147,0.9458
146,147,0.9795
148,149,0.9788
150,151,0.9787
152,153,0.9787
154,155,0.9789
156,157,0.9787
156,158,0.9772
156,159,0.9767
157,158,0.9765
157,159,0.9767
158,159,0.9775
160,161,0.978
162,163,0.9777
164,165,0.978
166,167,0.9774
168,169,0.9778
170,171,0.9786
172,173,0.9783
174,175,0.978
176,177,0.9772
178,179,0.9779
180,181,0.9795
182,183,0.9784
184,185,0.9782
186,187,0.9772
188,189,0.9787
190,191,0.9788
192,193,0.9801
192,194,0.9266
192,195,0.9265
193,194,0.925
193,195,0.9253
194,195,0.9791
196,197,0.9797
196,198,0.982
196,199,0.9818
197,198,0.9824
197,199,0.9824
198,199,0.9793
200,201,0.9797
200,202,0.9781
200,203,0.9786
201,202,0.9783
201,203,0.9781
202,203,0.9797
204,205,0.9802
204,206,0.9371
204,207,0.9381
205,206,0.936
205,207,0.9365
206,207,0.9799
208,209,0.9814
210,211,0.9815
212,213,0.9815
214,215,0.9826
216,217,0.9806
216,218,0.9243
216,219,0.924
217,218,0.9249
217,219,0.9253
218,219,0.9798
220,221,0.9807
222,223,0.9804
224,225,0.9792
226,227,0.9793
228,229,0.9787
230,231,0.9787
232,233,0.9786
232,234,0.9237
232,235,0.9239
233,234,0.9252
233,235,0.926
234,235,0.9784
236,237,0.9794
238,239,0.978
240,241,0.9751
242,243,0.9751
244,245,0.9756
246,247,0.9737
248,249,0.9747
250,251,0.9741
252,253,0.9768
254,255,0.9737
256,257,0.9735
258,259,0.9731
260,261,0.9723
262,263,0.9735
264,265,0.9721
264,266,0.9198
264,267,0.9204
265,266,0.9193
265,267,0.9179
266,267,0.9735
268,269,0.9732
270,271,0.9727
272,273,0.9762
274,275,0.9768
276,277,0.9759
278,279,0.9774
280,281,0.9766
282,283,0.9776
284,285,0.9758
286,287,0.9771
288,289,0.9781
290,291,0.9787
292,293,0.9787
294,295,0.9796
296,297,0.9786
298,299,0.9789
300,301,0.9776
302,303,0.9793
304,305,0.9779
306,307,0.9779
308,309,0.9765
310,311,0.9781
312,313,0.9775
314,315,0.9785
316,317,0.9767
318,319,0.9775
320,321,0.9785
322,323,0.9779
324,325,0.9771
326,327,0.977
328,329,0.9761
328,330,0.9571
328,331,0.9566
329,330,0.9566
329,331,0.9563
330,331,0.9759
332,333,0.9776
332,334,0.971
332,335,0.9712
333,334,0.9711
333,335,0.9715
334,335,0.9761
336,337,0.978
338,339,0.9768
340,341,0.9774
340,342,0.9883
