path,fname,label,width,height,bytes,md5,classnum,instnum,motif,rotation,instance_id
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 1.jpg,1 Sekar Kemuning 1.jpg,1 Sekar Kemuning,512,512,61241,4f74249006e605b87e584f65f894c256,1,1,Sekar Kemuning,0,1|1
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 1_rotate_180.jpg,1 Sekar Kemuning 1_rotate_180.jpg,1 Sekar Kemuning,512,512,61532,3b5da2c540ca31097614366e7098c142,1,1,Sekar Kemuning,180,1|1
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 1_rotate_270.jpg,1 Sekar Kemuning 1_rotate_270.jpg,1 Sekar Kemuning,512,512,54969,9ec0d207f3dc14b74851b645f4b3113a,1,1,Sekar Kemuning,270,1|1
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 1_rotate_90.jpg,1 Sekar Kemuning 1_rotate_90.jpg,1 Sekar Kemuning,512,512,54897,d0ea8ef9a290a6ae43cca80db8d91fb6,1,1,Sekar Kemuning,90,1|1
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 2.jpg,1 Sekar Kemuning 2.jpg,1 Sekar Kemuning,512,512,59087,df8817e84db77d73f7ae3cb37201d9a9,1,2,Sekar Kemuning,0,1|2
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 2_rotate_180.jpg,1 Sekar Kemuning 2_rotate_180.jpg,1 Sekar Kemuning,512,512,59793,425359bdfcb6f91966742424df192f4b,1,2,Sekar Kemuning,180,1|2
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 2_rotate_270.jpg,1 Sekar Kemuning 2_rotate_270.jpg,1 Sekar Kemuning,512,512,53389,2cf5931fe7ef8603ef4aa9192c5ea606,1,2,Sekar Kemuning,270,1|2
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 2_rotate_90.jpg,1 Sekar Kemuning 2_rotate_90.jpg,1 Sekar Kemuning,512,512,53361,db9106c94e351f783a757ed6a588ee33,1,2,Sekar Kemuning,90,1|2
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 3.jpg,1 Sekar Kemuning 3.jpg,1 Sekar Kemuning,512,512,62120,964ce71ddf4f6c2d9f2e4ce0eeb0e46e,1,3,Sekar Kemuning,0,1|3
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 3_rotate_180.jpg,1 Sekar Kemuning 3_rotate_180.jpg,1 Sekar Kemuning,512,512,61385,873274b02cb215838f3f1228fe0a6e4a,1,3,Sekar Kemuning,180,1|3
