path,fname,label,dup_group,seed,split
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo1.jpeg,angsoduo1.jpeg,batik-angso duo,0,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo10.jpeg,angsoduo10.jpeg,batik-angso duo,1,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo11.jpeg,angsoduo11.jpeg,batik-angso duo,2,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo12.jpeg,angsoduo12.jpeg,batik-angso duo,3,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo13.jpeg,angsoduo13.jpeg,batik-angso duo,4,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo14.jpeg,angsoduo14.jpeg,batik-angso duo,5,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo15.jpeg,angsoduo15.jpeg,batik-angso duo,6,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo16.jpeg,angsoduo16.jpeg,batik-angso duo,7,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo17.jpeg,angsoduo17.jpeg,batik-angso duo,8,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo18.jpeg,angsoduo18.jpeg,batik-angso duo,9,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo19.jpeg,angsoduo19.jpeg,batik-angso duo,10,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo2.jpeg,angsoduo2.jpeg,batik-angso duo,11,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo20.jpeg,angsoduo20.jpeg,batik-angso duo,12,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo21.jpeg,angsoduo21.jpeg,batik-angso duo,13,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo22.jpeg,angsoduo22.jpeg,batik-angso duo,10,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo23.jpeg,angsoduo23.jpeg,batik-angso duo,15,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo24.jpeg,angsoduo24.jpeg,batik-angso duo,16,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo25.jpeg,angsoduo25.jpeg,batik-angso duo,17,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo26.jpeg,angsoduo26.jpeg,batik-angso duo,18,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo28.jpeg,angsoduo28.jpeg,batik-angso duo,19,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo29.jpeg,angsoduo29.jpeg,batik-angso duo,20,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo3.jpeg,angsoduo3.jpeg,batik-angso duo,21,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo30.jpeg,angsoduo30.jpeg,batik-angso duo,22,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo31.jpeg,angsoduo31.jpeg,batik-angso duo,23,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo32.jpeg,angsoduo32.jpeg,batik-angso duo,24,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo33.jpeg,angsoduo33.jpeg,batik-angso duo,25,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo34.jpeg,angsoduo34.jpeg,batik-angso duo,26,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo35.jpeg,angsoduo35.jpeg,batik-angso duo,27,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo4.jpeg,angsoduo4.jpeg,batik-angso duo,28,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo5.jpeg,angsoduo5.jpeg,batik-angso duo,29,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo6.jpeg,angsoduo6.jpeg,batik-angso duo,30,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo7.jpeg,angsoduo7.jpeg,batik-angso duo,31,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo8.jpeg,angsoduo8.jpeg,batik-angso duo,21,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-angso duo/angsoduo9.jpeg,angsoduo9.jpeg,batik-angso duo,33,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari1.jpeg,batanghari1.jpeg,batik-batanghari,34,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari10.jpeg,batanghari10.jpeg,batik-batanghari,35,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari11.jpeg,batanghari11.jpeg,batik-batanghari,36,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari12.jpeg,batanghari12.jpeg,batik-batanghari,37,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari13.jpeg,batanghari13.jpeg,batik-batanghari,38,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari14.jpeg,batanghari14.jpeg,batik-batanghari,39,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari15.jpeg,batanghari15.jpeg,batik-batanghari,40,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari16.jpeg,batanghari16.jpeg,batik-batanghari,41,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari17.jpeg,batanghari17.jpeg,batik-batanghari,42,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari18.jpeg,batanghari18.jpeg,batik-batanghari,43,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari19.jpeg,batanghari19.jpeg,batik-batanghari,44,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari2.jpeg,batanghari2.jpeg,batik-batanghari,45,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari20.jpeg,batanghari20.jpeg,batik-batanghari,46,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari21.jpeg,batanghari21.jpeg,batik-batanghari,47,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari21.jpg,batanghari21.jpg,batik-batanghari,48,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari22.jpeg,batanghari22.jpeg,batik-batanghari,49,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari23.jpeg,batanghari23.jpeg,batik-batanghari,50,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari24.jpeg,batanghari24.jpeg,batik-batanghari,51,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari25.jpeg,batanghari25.jpeg,batik-batanghari,52,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari26.jpeg,batanghari26.jpeg,batik-batanghari,53,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari27.jpeg,batanghari27.jpeg,batik-batanghari,54,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari28.jpeg,batanghari28.jpeg,batik-batanghari,55,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari29.jpeg,batanghari29.jpeg,batik-batanghari,56,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari3.jpg,batanghari3.jpg,batik-batanghari,57,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari30.jpeg,batanghari30.jpeg,batik-batanghari,58,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari31.jpeg,batanghari31.jpeg,batik-batanghari,59,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari32.jpeg,batanghari32.jpeg,batik-batanghari,60,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari4.jpeg,batanghari4.jpeg,batik-batanghari,61,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari5.jpg,batanghari5.jpg,batik-batanghari,62,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari6.jpeg,batanghari6.jpeg,batik-batanghari,63,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari7.jpeg,batanghari7.jpeg,batik-batanghari,64,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari8.jpeg,batanghari8.jpeg,batik-batanghari,65,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-batanghari/batanghari9.jpeg,batanghari9.jpeg,batik-batanghari,66,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-biji kopi/bijikopi1.jpeg,bijikopi1.jpeg,batik-biji kopi,67,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-biji kopi/bijikopi10.jpeg,bijikopi10.jpeg,batik-biji kopi,68,0,test
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-biji kopi/bijikopi11.jpeg,bijikopi11.jpeg,batik-biji kopi,69,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-biji kopi/bijikopi12.jpeg,bijikopi12.jpeg,batik-biji kopi,70,0,train
/kaggle/input/datasets/hertiyani/batik-jambi/batik jambi/batik-biji kopi/bijikopi13.jpeg,bijikopi13.jpeg,batik-biji kopi,71,0,train
