path,fname,label,dup_group,seed,split
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 1.jpg,1 Sekar Kemuning 1.jpg,1 Sekar Kemuning,0,0,train
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 1_rotate_180.jpg,1 Sekar Kemuning 1_rotate_180.jpg,1 Sekar Kemuning,0,0,train
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 1_rotate_270.jpg,1 Sekar Kemuning 1_rotate_270.jpg,1 Sekar Kemuning,2,0,test
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 1_rotate_90.jpg,1 Sekar Kemuning 1_rotate_90.jpg,1 Sekar Kemuning,2,0,test
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 2.jpg,1 Sekar Kemuning 2.jpg,1 Sekar Kemuning,4,0,test
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 2_rotate_180.jpg,1 Sekar Kemuning 2_rotate_180.jpg,1 Sekar Kemuning,4,0,test
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 2_rotate_270.jpg,1 Sekar Kemuning 2_rotate_270.jpg,1 Sekar Kemuning,6,0,test
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 2_rotate_90.jpg,1 Sekar Kemuning 2_rotate_90.jpg,1 Sekar Kemuning,6,0,test
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 3.jpg,1 Sekar Kemuning 3.jpg,1 Sekar Kemuning,8,0,train
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 3_rotate_180.jpg,1 Sekar Kemuning 3_rotate_180.jpg,1 Sekar Kemuning,8,0,train
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 3_rotate_270.jpg,1 Sekar Kemuning 3_rotate_270.jpg,1 Sekar Kemuning,10,0,train
/kaggle/input/datasets/hertiyani/batik-nitik-960-official-mendeley/Batik Nitik 960/Batik Nitik 960 Images/1 Sekar Kemuning 3_rotate_90.jpg,1 Sekar Kemuning 3_rotate_90.jpg,1 Sekar Kemuning,10,0,train
