dataset,seed,classes,chance,all_feat,colour_only,res_only,perm_ctrl,res_div_chance
NITIK,0,60,1.67,86.5,86.5,1.6,2.5,0.9
NITIK,1,60,1.67,86.1,86.0,1.6,1.9,0.9
NITIK,2,60,1.67,86.5,86.2,1.6,2.1,0.9
NITIK,3,60,1.67,87.6,86.8,1.6,2.2,0.9
NITIK,4,60,1.67,86.7,86.5,1.6,3.3,0.9
JAMBI,0,5,20.0,54.6,37.9,52.7,13.7,2.6
JAMBI,1,5,20.0,54.6,34.7,54.6,23.6,2.7
JAMBI,2,5,20.0,54.6,34.7,54.0,18.6,2.7
JAMBI,3,5,20.0,50.3,32.9,54.6,23.6,2.7
JAMBI,4,5,20.0,56.5,36.0,51.6,24.9,2.6
DION_FULL,0,20,5.0,23.4,17.9,19.9,5.5,4.0
DION_FULL,1,20,5.0,23.3,18.2,20.7,5.2,4.1
DION_FULL,2,20,5.0,23.6,17.1,20.3,5.7,4.1
DION_FULL,3,20,5.0,23.3,17.3,20.8,2.9,4.2
DION_FULL,4,20,5.0,24.2,18.7,20.1,5.0,4.0
DION_LOOSE,0,20,5.0,23.5,20.0,19.5,5.1,3.9
DION_LOOSE,1,20,5.0,21.8,19.2,18.1,5.1,3.6
DION_LOOSE,2,20,5.0,23.3,16.8,19.7,5.8,3.9
DION_LOOSE,3,20,5.0,22.7,19.2,21.2,5.0,4.2
DION_LOOSE,4,20,5.0,23.5,19.9,19.9,6.1,4.0
DION_STRICT,0,20,5.0,20.6,20.1,16.6,7.6,3.3
DION_STRICT,1,20,5.0,21.3,19.9,16.7,4.6,3.3
DION_STRICT,2,20,5.0,21.8,20.3,15.2,4.0,3.0
DION_STRICT,3,20,5.0,20.3,21.0,15.1,5.7,3.0
DION_STRICT,4,20,5.0,21.6,22.4,14.5,4.8,2.9
