dataset,condition,mean,std
DION_FULL,BLUR,37.5,2.3
DION_FULL,COLOR,49.6,3.7
DION_FULL,GRAY,48.9,2.1
DION_FULL,SHUFFLE,45.1,1.9
DION_LOOSE,BLUR,41.9,2.5
DION_LOOSE,COLOR,52.1,2.9
DION_LOOSE,GRAY,50.8,2.5
DION_LOOSE,SHUFFLE,48.2,2.7
DION_STRICT,BLUR,37.3,2.6
DION_STRICT,COLOR,51.1,2.0
DION_STRICT,GRAY,47.1,2.0
DION_STRICT,SHUFFLE,45.7,2.4
JAMBI,BLUR,65.7,4.4
JAMBI,COLOR,81.6,2.1
JAMBI,GRAY,84.9,6.2
JAMBI,SHUFFLE,74.3,5.9
NITIK,BLUR,100.0,0.0
NITIK,COLOR,100.0,0.0
NITIK,GRAY,100.0,0.0
NITIK,SHUFFLE,100.0,0.0
