dataset,condition,seed,acc
NITIK,COLOR,0,100.0
NITIK,COLOR,1,100.0
NITIK,COLOR,2,100.0
NITIK,COLOR,3,100.0
NITIK,COLOR,4,100.0
NITIK,GRAY,0,100.0
NITIK,GRAY,1,100.0
NITIK,GRAY,2,100.0
NITIK,GRAY,3,100.0
NITIK,GRAY,4,100.0
NITIK,BLUR,0,100.0
NITIK,BLUR,1,100.0
NITIK,BLUR,2,100.0
NITIK,BLUR,3,100.0
NITIK,BLUR,4,100.0
NITIK,SHUFFLE,0,100.0
NITIK,SHUFFLE,1,100.0
NITIK,SHUFFLE,2,100.0
NITIK,SHUFFLE,3,100.0
NITIK,SHUFFLE,4,100.0
JAMBI,COLOR,0,81.6
JAMBI,COLOR,1,79.6
JAMBI,COLOR,2,83.7
JAMBI,COLOR,3,79.6
JAMBI,COLOR,4,83.7
JAMBI,GRAY,0,79.6
JAMBI,GRAY,1,77.6
JAMBI,GRAY,2,91.8
JAMBI,GRAY,3,89.8
JAMBI,GRAY,4,85.7
JAMBI,BLUR,0,65.3
JAMBI,BLUR,1,63.3
JAMBI,BLUR,2,73.5
JAMBI,BLUR,3,63.3
JAMBI,BLUR,4,63.3
JAMBI,SHUFFLE,0,65.3
JAMBI,SHUFFLE,1,75.5
JAMBI,SHUFFLE,2,81.6
JAMBI,SHUFFLE,3,75.5
JAMBI,SHUFFLE,4,73.5
DION_FULL,COLOR,0,53.9
DION_FULL,COLOR,1,44.7
DION_FULL,COLOR,2,50.2
DION_FULL,COLOR,3,47.1
DION_FULL,COLOR,4,51.9
DION_FULL,GRAY,0,52.5
DION_FULL,GRAY,1,48.1
DION_FULL,GRAY,2,48.5
DION_FULL,GRAY,3,46.8
DION_FULL,GRAY,4,48.5
DION_FULL,BLUR,0,40.3
DION_FULL,BLUR,1,38.3
DION_FULL,BLUR,2,36.6
DION_FULL,BLUR,3,38.0
DION_FULL,BLUR,4,34.2
DION_FULL,SHUFFLE,0,45.8
DION_FULL,SHUFFLE,1,45.1
DION_FULL,SHUFFLE,2,43.7
DION_FULL,SHUFFLE,3,43.1
DION_FULL,SHUFFLE,4,47.8
DION_LOOSE,COLOR,0,56.6
DION_LOOSE,COLOR,1,49.1
DION_LOOSE,COLOR,2,51.3
DION_LOOSE,COLOR,3,52.8
DION_LOOSE,COLOR,4,50.6
DION_LOOSE,GRAY,0,54.3
DION_LOOSE,GRAY,1,50.2
DION_LOOSE,GRAY,2,52.1
DION_LOOSE,GRAY,3,49.4
DION_LOOSE,GRAY,4,47.9
DION_LOOSE,BLUR,0,44.5
DION_LOOSE,BLUR,1,38.5
DION_LOOSE,BLUR,2,43.8
DION_LOOSE,BLUR,3,42.3
DION_LOOSE,BLUR,4,40.4
DION_LOOSE,SHUFFLE,0,52.5
DION_LOOSE,SHUFFLE,1,48.7
DION_LOOSE,SHUFFLE,2,46.0
DION_LOOSE,SHUFFLE,3,48.3
DION_LOOSE,SHUFFLE,4,45.7
DION_STRICT,COLOR,0,49.5
DION_STRICT,COLOR,1,50.0
DION_STRICT,COLOR,2,51.5
DION_STRICT,COLOR,3,50.0
DION_STRICT,COLOR,4,54.5
DION_STRICT,GRAY,0,43.5
DION_STRICT,GRAY,1,48.5
DION_STRICT,GRAY,2,47.5
DION_STRICT,GRAY,3,48.0
DION_STRICT,GRAY,4,48.0
DION_STRICT,BLUR,0,36.0
DION_STRICT,BLUR,1,37.5
DION_STRICT,BLUR,2,37.0
DION_STRICT,BLUR,3,34.5
DION_STRICT,BLUR,4,41.5
DION_STRICT,SHUFFLE,0,42.0
DION_STRICT,SHUFFLE,1,45.0
DION_STRICT,SHUFFLE,2,46.0
DION_STRICT,SHUFFLE,3,47.0
DION_STRICT,SHUFFLE,4,48.5
