arch,dataset,condition,mean,std
convnext_tiny,DION_STRICT,BLUR,37.3,2.6
convnext_tiny,DION_STRICT,COLOR,51.1,2.0
convnext_tiny,DION_STRICT,GRAY,47.1,2.0
convnext_tiny,DION_STRICT,SHUFFLE,45.7,2.4
convnext_tiny,JAMBI,BLUR,65.7,4.4
convnext_tiny,JAMBI,COLOR,81.6,2.1
convnext_tiny,JAMBI,GRAY,84.9,6.2
convnext_tiny,JAMBI,SHUFFLE,74.3,5.9
convnext_tiny,NITIK,BLUR,100.0,0.0
convnext_tiny,NITIK,COLOR,100.0,0.0
convnext_tiny,NITIK,GRAY,100.0,0.0
convnext_tiny,NITIK,SHUFFLE,100.0,0.0
resnet50,DION_STRICT,BLUR,34.7,1.9
resnet50,DION_STRICT,COLOR,47.2,3.8
resnet50,DION_STRICT,GRAY,44.3,3.4
resnet50,DION_STRICT,SHUFFLE,43.2,3.9
resnet50,JAMBI,BLUR,57.5,10.3
resnet50,JAMBI,COLOR,69.4,3.2
resnet50,JAMBI,GRAY,66.5,5.5
resnet50,JAMBI,SHUFFLE,64.5,3.7
resnet50,NITIK,BLUR,100.0,0.0
resnet50,NITIK,COLOR,100.0,0.0
resnet50,NITIK,GRAY,100.0,0.0
resnet50,NITIK,SHUFFLE,100.0,0.0
swin_t,DION_STRICT,BLUR,35.9,1.1
swin_t,DION_STRICT,COLOR,49.0,2.3
swin_t,DION_STRICT,GRAY,45.7,1.5
swin_t,DION_STRICT,SHUFFLE,45.0,3.9
swin_t,JAMBI,BLUR,58.8,3.9
swin_t,JAMBI,COLOR,77.1,8.9
swin_t,JAMBI,GRAY,77.2,5.7
swin_t,JAMBI,SHUFFLE,72.7,3.7
swin_t,NITIK,BLUR,100.0,0.0
swin_t,NITIK,COLOR,100.0,0.0
swin_t,NITIK,GRAY,100.0,0.0
swin_t,NITIK,SHUFFLE,100.0,0.0
vit_b_16,DION_STRICT,BLUR,34.6,4.2
vit_b_16,DION_STRICT,COLOR,46.1,2.4
vit_b_16,DION_STRICT,GRAY,41.4,2.4
vit_b_16,DION_STRICT,SHUFFLE,42.2,2.4
vit_b_16,JAMBI,BLUR,50.2,5.5
vit_b_16,JAMBI,COLOR,67.3,2.5
vit_b_16,JAMBI,GRAY,74.3,4.5
vit_b_16,JAMBI,SHUFFLE,60.8,8.2
vit_b_16,NITIK,BLUR,100.0,0.0
vit_b_16,NITIK,COLOR,100.0,0.0
vit_b_16,NITIK,GRAY,100.0,0.0
vit_b_16,NITIK,SHUFFLE,100.0,0.0
