arch,dataset,condition,seed,acc
convnext_tiny,NITIK,COLOR,0,100.0
convnext_tiny,NITIK,COLOR,1,100.0
convnext_tiny,NITIK,COLOR,2,100.0
convnext_tiny,NITIK,COLOR,3,100.0
convnext_tiny,NITIK,COLOR,4,100.0
convnext_tiny,NITIK,GRAY,0,100.0
convnext_tiny,NITIK,GRAY,1,100.0
convnext_tiny,NITIK,GRAY,2,100.0
convnext_tiny,NITIK,GRAY,3,100.0
convnext_tiny,NITIK,GRAY,4,100.0
convnext_tiny,NITIK,BLUR,0,100.0
convnext_tiny,NITIK,BLUR,1,100.0
convnext_tiny,NITIK,BLUR,2,100.0
convnext_tiny,NITIK,BLUR,3,100.0
convnext_tiny,NITIK,BLUR,4,100.0
convnext_tiny,NITIK,SHUFFLE,0,100.0
convnext_tiny,NITIK,SHUFFLE,1,100.0
convnext_tiny,NITIK,SHUFFLE,2,100.0
convnext_tiny,NITIK,SHUFFLE,3,100.0
convnext_tiny,NITIK,SHUFFLE,4,100.0
convnext_tiny,JAMBI,COLOR,0,81.6
convnext_tiny,JAMBI,COLOR,1,79.6
convnext_tiny,JAMBI,COLOR,2,83.7
convnext_tiny,JAMBI,COLOR,3,79.6
convnext_tiny,JAMBI,COLOR,4,83.7
convnext_tiny,JAMBI,GRAY,0,79.6
convnext_tiny,JAMBI,GRAY,1,77.6
convnext_tiny,JAMBI,GRAY,2,91.8
convnext_tiny,JAMBI,GRAY,3,89.8
convnext_tiny,JAMBI,GRAY,4,85.7
convnext_tiny,JAMBI,BLUR,0,65.3
convnext_tiny,JAMBI,BLUR,1,63.3
convnext_tiny,JAMBI,BLUR,2,73.5
convnext_tiny,JAMBI,BLUR,3,63.3
convnext_tiny,JAMBI,BLUR,4,63.3
convnext_tiny,JAMBI,SHUFFLE,0,65.3
convnext_tiny,JAMBI,SHUFFLE,1,75.5
convnext_tiny,JAMBI,SHUFFLE,2,81.6
convnext_tiny,JAMBI,SHUFFLE,3,75.5
convnext_tiny,JAMBI,SHUFFLE,4,73.5
convnext_tiny,DION_STRICT,COLOR,0,49.5
convnext_tiny,DION_STRICT,COLOR,1,50.0
convnext_tiny,DION_STRICT,COLOR,2,51.5
convnext_tiny,DION_STRICT,COLOR,3,50.0
convnext_tiny,DION_STRICT,COLOR,4,54.5
convnext_tiny,DION_STRICT,GRAY,0,43.5
convnext_tiny,DION_STRICT,GRAY,1,48.5
convnext_tiny,DION_STRICT,GRAY,2,47.5
convnext_tiny,DION_STRICT,GRAY,3,48.0
convnext_tiny,DION_STRICT,GRAY,4,48.0
convnext_tiny,DION_STRICT,BLUR,0,36.0
convnext_tiny,DION_STRICT,BLUR,1,37.5
convnext_tiny,DION_STRICT,BLUR,2,37.0
convnext_tiny,DION_STRICT,BLUR,3,34.5
convnext_tiny,DION_STRICT,BLUR,4,41.5
convnext_tiny,DION_STRICT,SHUFFLE,0,42.0
convnext_tiny,DION_STRICT,SHUFFLE,1,45.0
convnext_tiny,DION_STRICT,SHUFFLE,2,46.0
convnext_tiny,DION_STRICT,SHUFFLE,3,47.0
convnext_tiny,DION_STRICT,SHUFFLE,4,48.5
resnet50,NITIK,COLOR,0,100.0
resnet50,NITIK,COLOR,1,100.0
resnet50,NITIK,COLOR,2,100.0
resnet50,NITIK,COLOR,3,100.0
resnet50,NITIK,COLOR,4,100.0
resnet50,NITIK,GRAY,0,100.0
resnet50,NITIK,GRAY,1,100.0
resnet50,NITIK,GRAY,2,100.0
resnet50,NITIK,GRAY,3,100.0
resnet50,NITIK,GRAY,4,100.0
resnet50,NITIK,BLUR,0,100.0
resnet50,NITIK,BLUR,1,100.0
resnet50,NITIK,BLUR,2,100.0
resnet50,NITIK,BLUR,3,100.0
resnet50,NITIK,BLUR,4,100.0
resnet50,NITIK,SHUFFLE,0,100.0
resnet50,NITIK,SHUFFLE,1,100.0
resnet50,NITIK,SHUFFLE,2,100.0
resnet50,NITIK,SHUFFLE,3,100.0
resnet50,NITIK,SHUFFLE,4,100.0
resnet50,JAMBI,COLOR,0,65.3
resnet50,JAMBI,COLOR,1,71.4
resnet50,JAMBI,COLOR,2,73.5
resnet50,JAMBI,COLOR,3,67.3
resnet50,JAMBI,COLOR,4,69.4
resnet50,JAMBI,GRAY,0,63.3
resnet50,JAMBI,GRAY,1,67.3
resnet50,JAMBI,GRAY,2,75.5
resnet50,JAMBI,GRAY,3,61.2
resnet50,JAMBI,GRAY,4,65.3
resnet50,JAMBI,BLUR,0,42.9
resnet50,JAMBI,BLUR,1,61.2
resnet50,JAMBI,BLUR,2,71.4
resnet50,JAMBI,BLUR,3,57.1
resnet50,JAMBI,BLUR,4,55.1
resnet50,JAMBI,SHUFFLE,0,59.2
resnet50,JAMBI,SHUFFLE,1,65.3
resnet50,JAMBI,SHUFFLE,2,63.3
resnet50,JAMBI,SHUFFLE,3,69.4
resnet50,JAMBI,SHUFFLE,4,65.3
resnet50,DION_STRICT,COLOR,0,42.0
resnet50,DION_STRICT,COLOR,1,45.0
resnet50,DION_STRICT,COLOR,2,50.5
resnet50,DION_STRICT,COLOR,3,47.5
resnet50,DION_STRICT,COLOR,4,51.0
resnet50,DION_STRICT,GRAY,0,39.0
resnet50,DION_STRICT,GRAY,1,43.5
resnet50,DION_STRICT,GRAY,2,45.0
resnet50,DION_STRICT,GRAY,3,46.0
resnet50,DION_STRICT,GRAY,4,48.0
resnet50,DION_STRICT,BLUR,0,33.0
resnet50,DION_STRICT,BLUR,1,34.0
resnet50,DION_STRICT,BLUR,2,34.5
resnet50,DION_STRICT,BLUR,3,34.0
resnet50,DION_STRICT,BLUR,4,38.0
resnet50,DION_STRICT,SHUFFLE,0,40.0
resnet50,DION_STRICT,SHUFFLE,1,39.0
resnet50,DION_STRICT,SHUFFLE,2,45.0
resnet50,DION_STRICT,SHUFFLE,3,43.5
resnet50,DION_STRICT,SHUFFLE,4,48.5
vit_b_16,NITIK,COLOR,0,100.0
vit_b_16,NITIK,COLOR,1,100.0
vit_b_16,NITIK,COLOR,2,100.0
vit_b_16,NITIK,COLOR,3,100.0
vit_b_16,NITIK,COLOR,4,100.0
vit_b_16,NITIK,GRAY,0,100.0
vit_b_16,NITIK,GRAY,1,100.0
vit_b_16,NITIK,GRAY,2,100.0
vit_b_16,NITIK,GRAY,3,100.0
vit_b_16,NITIK,GRAY,4,100.0
vit_b_16,NITIK,BLUR,0,100.0
vit_b_16,NITIK,BLUR,1,100.0
vit_b_16,NITIK,BLUR,2,100.0
vit_b_16,NITIK,BLUR,3,100.0
vit_b_16,NITIK,BLUR,4,100.0
vit_b_16,NITIK,SHUFFLE,0,100.0
vit_b_16,NITIK,SHUFFLE,1,100.0
vit_b_16,NITIK,SHUFFLE,2,100.0
vit_b_16,NITIK,SHUFFLE,3,100.0
vit_b_16,NITIK,SHUFFLE,4,100.0
vit_b_16,JAMBI,COLOR,0,67.3
vit_b_16,JAMBI,COLOR,1,71.4
vit_b_16,JAMBI,COLOR,2,67.3
vit_b_16,JAMBI,COLOR,3,65.3
vit_b_16,JAMBI,COLOR,4,65.3
vit_b_16,JAMBI,GRAY,0,69.4
vit_b_16,JAMBI,GRAY,1,73.5
vit_b_16,JAMBI,GRAY,2,73.5
vit_b_16,JAMBI,GRAY,3,81.6
vit_b_16,JAMBI,GRAY,4,73.5
vit_b_16,JAMBI,BLUR,0,42.9
vit_b_16,JAMBI,BLUR,1,46.9
vit_b_16,JAMBI,BLUR,2,53.1
vit_b_16,JAMBI,BLUR,3,57.1
vit_b_16,JAMBI,BLUR,4,51.0
vit_b_16,JAMBI,SHUFFLE,0,61.2
vit_b_16,JAMBI,SHUFFLE,1,57.1
vit_b_16,JAMBI,SHUFFLE,2,69.4
vit_b_16,JAMBI,SHUFFLE,3,67.3
vit_b_16,JAMBI,SHUFFLE,4,49.0
vit_b_16,DION_STRICT,COLOR,0,42.5
vit_b_16,DION_STRICT,COLOR,1,46.0
vit_b_16,DION_STRICT,COLOR,2,47.0
vit_b_16,DION_STRICT,COLOR,3,46.0
vit_b_16,DION_STRICT,COLOR,4,49.0
vit_b_16,DION_STRICT,GRAY,0,39.5
vit_b_16,DION_STRICT,GRAY,1,39.0
vit_b_16,DION_STRICT,GRAY,2,45.0
vit_b_16,DION_STRICT,GRAY,3,41.5
vit_b_16,DION_STRICT,GRAY,4,42.0
vit_b_16,DION_STRICT,BLUR,0,36.5
vit_b_16,DION_STRICT,BLUR,1,37.0
vit_b_16,DION_STRICT,BLUR,2,29.0
vit_b_16,DION_STRICT,BLUR,3,39.0
vit_b_16,DION_STRICT,BLUR,4,31.5
vit_b_16,DION_STRICT,SHUFFLE,0,38.5
vit_b_16,DION_STRICT,SHUFFLE,1,41.5
vit_b_16,DION_STRICT,SHUFFLE,2,44.5
